i,e,c,p,l,real,predict
1,1,1,1,3,3.26,3.964
1,1,1,2,3,0.35,0.202
1,1,1,3,3,1.84,1.402
1,1,1,4,3,1.02,1.6780000000000002
1,1,1,5,3,0.4,0.808
1,1,1,6,3,0.34,0.6839999999999999
1,1,1,7,3,0.11,0.22
1,1,1,8,3,0.12,0.244
1,1,1,9,3,0.0,0.0
1,1,1,10,3,13.33,10.914
1,1,1,11,3,0.92,1.844
1,1,1,12,3,0.82,1.634
1,1,1,13,3,1.16,1.798
1,1,1,14,3,1.73,0.61
1,1,1,15,3,0.0,0.0
1,1,1,16,3,0.11,0.0
1,1,1,17,3,2.86,5.326
1,1,1,18,3,0.37,0.3259999999999999
1,1,1,19,3,5.24,6.460000000000001
1,1,1,20,3,0.38,0.0
1,1,1,21,3,2.81,3.144
1,1,1,22,3,0.89,1.5459999999999998
1,1,1,23,3,0.11,0.218
1,1,1,24,3,1.0,0.692
1,1,1,25,3,0.0,0.0
1,1,1,26,3,0.0,0.0
1,1,1,28,3,0.0,0.0
1,1,1,29,3,1.79,2.762
1,1,1,30,3,0.0,0.0
1,1,1,31,3,1.02,0.308
1,1,1,32,3,0.0,0.0
1,1,1,33,3,0.0,0.0
1,1,1,34,3,0.0,0.0
1,1,1,35,3,42.17,47.698
1,1,4,1,3,0.0,0.0
1,1,4,3,3,0.0,0.0
1,1,4,4,3,0.0,0.0
1,1,4,9,3,0.0,0.0
1,1,4,10,3,0.0,0.0
1,1,4,11,3,0.0,0.0
1,1,4,13,3,0.0,0.0
1,1,4,15,3,0.0,0.0
1,1,4,16,3,0.0,0.0
1,1,4,18,3,0.0,0.0
1,1,4,19,3,0.0,0.0
1,1,4,21,3,0.0,0.0
1,1,4,35,3,0.0,0.0
1,1,7,15,3,0.0,0.0
1,1,7,35,3,0.0,0.0
1,4,1,1,1,2.09,3.93
1,4,1,1,3,0.0,0.0
1,4,1,2,1,1.1,2.21
1,4,1,2,3,0.0,0.0
1,4,1,3,1,1.12,2.234
1,4,1,3,3,0.0,0.0
1,4,1,4,1,1.24,2.262
1,4,1,4,3,0.0,0.0
1,4,1,5,1,1.12,0.826
1,4,1,5,3,0.0,0.0
1,4,1,6,1,0.22,0.432
1,4,1,7,1,0.32,0.642
1,4,1,7,3,0.0,0.0
1,4,1,8,1,0.56,0.6679999999999999
1,4,1,9,1,0.0,0.0
1,4,1,10,1,7.55,8.904
1,4,1,10,3,0.0,0.0
1,4,1,11,1,1.83,3.662
1,4,1,11,3,0.0,0.0
1,4,1,12,1,0.24,0.0
1,4,1,12,3,0.0,0.0
1,4,1,13,1,2.12,2.81
1,4,1,13,3,0.0,0.0
1,4,1,14,1,0.12,0.236
1,4,1,14,3,0.0,0.0
1,4,1,15,1,3.39,5.768
1,4,1,15,3,0.0,0.0
1,4,1,16,1,1.04,1.278
1,4,1,16,3,0.0,0.0
1,4,1,17,1,1.45,0.602
1,4,1,18,1,1.5,1.118
1,4,1,18,3,0.0,0.0
1,4,1,19,1,0.83,0.0
1,4,1,19,3,0.0,0.0
1,4,1,20,1,0.44,0.4019999999999999
1,4,1,20,3,0.0,0.0
1,4,1,21,1,1.69,3.114
1,4,1,21,3,0.0,0.0
1,4,1,22,1,0.65,0.808
1,4,1,22,3,0.0,0.0
1,4,1,23,1,0.0,0.0
1,4,1,24,1,0.32,0.3399999999999999
1,4,1,24,3,0.0,0.0
1,4,1,25,1,0.0,0.0
1,4,1,25,3,0.0,0.0
1,4,1,26,1,0.0,0.0
1,4,1,28,1,0.0,0.0
1,4,1,29,1,1.23,0.648
1,4,1,29,3,0.0,0.0
1,4,1,30,1,0.0,0.0
1,4,1,31,1,0.22,0.0
1,4,1,32,1,0.0,0.0
1,4,1,32,3,0.0,0.0
1,4,1,33,1,0.0,0.0
1,4,1,34,1,0.0,0.0
1,4,1,35,1,32.94,37.928
1,4,1,35,3,0.0,0.0
1,4,4,1,1,0.0,0.0
1,4,4,2,1,0.0,0.0
1,4,4,3,1,0.0,0.0
1,4,4,4,1,0.0,0.0
1,4,4,9,1,0.0,0.0
1,4,4,10,1,0.0,0.0
1,4,4,11,1,0.0,0.0
1,4,4,13,1,0.0,0.0
1,4,4,15,1,0.0,0.0
1,4,4,19,1,0.2,0.41
1,4,4,21,1,0.0,0.0
1,4,4,22,1,0.0,0.0
1,4,4,35,1,0.0,0.0
1,5,1,1,1,0.0,0.0
1,5,1,2,1,0.0,0.0
1,5,1,2,3,0.0,0.0
1,5,1,3,1,0.0,0.0
1,5,1,4,1,0.0,0.0
1,5,1,5,1,0.0,0.0
1,5,1,6,1,0.0,0.0
1,5,1,7,1,0.0,0.0
1,5,1,8,1,0.0,0.0
1,5,1,9,1,0.0,0.0
1,5,1,10,1,0.15,0.0
1,5,1,10,3,0.0,0.0
1,5,1,11,1,0.0,0.0
1,5,1,12,1,0.0,0.0
1,5,1,13,1,0.0,0.0
1,5,1,14,1,0.0,0.0
1,5,1,15,1,0.0,0.0
1,5,1,16,1,0.0,0.0
1,5,1,17,1,0.0,0.0
1,5,1,18,1,0.0,0.0
1,5,1,19,1,0.0,0.0
1,5,1,19,3,0.0,0.0
1,5,1,21,1,0.0,0.0
1,5,1,22,1,0.0,0.0
1,5,1,24,1,0.0,0.0
1,5,1,25,1,0.0,0.0
1,5,1,26,1,0.0,0.0
1,5,1,28,1,0.0,0.0
1,5,1,29,1,0.0,0.0
1,5,1,31,1,0.0,0.0
1,5,1,32,1,0.0,0.0
1,5,1,35,1,0.0,0.0
1,5,1,35,3,0.0,0.0
1,5,4,2,1,0.0,0.0
1,5,4,4,1,0.0,0.0
1,5,4,13,1,0.0,0.0
1,5,4,35,1,0.0,0.0
1,6,1,1,3,0.0,0.0
1,6,1,2,3,0.0,0.0
1,6,1,3,3,0.0,0.0
1,6,1,4,3,0.0,0.0
1,6,1,5,3,0.0,0.0
1,6,1,6,3,0.0,0.0
1,6,1,7,3,0.0,0.0
1,6,1,8,3,0.0,0.0
1,6,1,9,3,0.0,0.0
1,6,1,10,3,0.25,0.5
1,6,1,11,3,0.0,0.0
1,6,1,12,3,0.0,0.0
1,6,1,13,3,0.0,0.0
1,6,1,14,3,0.0,0.0
1,6,1,15,3,0.0,0.0
1,6,1,16,3,0.0,0.0
1,6,1,17,3,0.0,0.0
1,6,1,18,3,0.0,0.0
1,6,1,19,3,0.0,0.0
1,6,1,20,3,0.0,0.0
1,6,1,21,3,0.0,0.0
1,6,1,22,3,0.0,0.0
1,6,1,23,3,0.0,0.0
1,6,1,24,3,0.0,0.0
1,6,1,26,3,0.0,0.0
1,6,1,28,3,0.0,0.0
1,6,1,29,3,0.0,0.0
1,6,1,35,3,0.3,0.0
1,6,4,35,3,0.0,0.0
1,7,1,1,2,0.0,0.0
1,7,1,1,3,0.0,0.0
