i,e,c,p,l,real,predict
i01,e01,c1,p01,l3,3.26,3.964
i01,e01,c1,p02,l3,0.35,0.202
i01,e01,c1,p03,l3,1.84,1.402
i01,e01,c1,p04,l3,1.02,1.6780000000000002
i01,e01,c1,p05,l3,0.4,0.808
i01,e01,c1,p06,l3,0.34,0.6839999999999999
i01,e01,c1,p07,l3,0.11,0.22000000000000003
i01,e01,c1,p08,l3,0.12,0.244
i01,e01,c1,p09,l3,0.0,0.0
i01,e01,c1,p10,l3,13.33,10.914
i01,e01,c1,p11,l3,0.92,1.8439999999999999
i01,e01,c1,p12,l3,0.82,1.634
i01,e01,c1,p13,l3,1.16,1.798
i01,e01,c1,p14,l3,1.73,0.61
i01,e01,c1,p15,l3,0.0,0.0
i01,e01,c1,p16,l3,0.11,0.0
i01,e01,c1,p17,l3,2.86,5.326
i01,e01,c1,p18,l3,0.37,0.32599999999999996
i01,e01,c1,p19,l3,5.24,6.460000000000001
i01,e01,c1,p20,l3,0.38,0.0
i01,e01,c1,p21,l3,2.81,3.144
i01,e01,c1,p22,l3,0.89,1.5459999999999998
i01,e01,c1,p23,l3,0.11,0.21800000000000003
i01,e01,c1,p24,l3,1.0,0.692
i01,e01,c1,p25,l3,0.0,0.0
i01,e01,c1,p26,l3,0.0,0.0
i01,e01,c1,p28,l3,0.0,0.0
i01,e01,c1,p29,l3,1.79,2.762
i01,e01,c1,p30,l3,0.0,0.0
i01,e01,c1,p31,l3,1.02,0.308
i01,e01,c1,p32,l3,0.0,0.0
i01,e01,c1,p33,l3,0.0,0.0
i01,e01,c1,p34,l3,0.0,0.0
i01,e01,c1,p35,l3,42.17,47.698
i01,e01,c4,p01,l3,0.0,0.0
i01,e01,c4,p03,l3,0.0,0.0
i01,e01,c4,p04,l3,0.0,0.0
i01,e01,c4,p09,l3,0.0,0.0
i01,e01,c4,p10,l3,0.0,0.0
i01,e01,c4,p11,l3,0.0,0.0
i01,e01,c4,p13,l3,0.0,0.0
i01,e01,c4,p15,l3,0.0,0.0
i01,e01,c4,p16,l3,0.0,0.0
i01,e01,c4,p18,l3,0.0,0.0
i01,e01,c4,p19,l3,0.0,0.0
i01,e01,c4,p21,l3,0.0,0.0
i01,e01,c4,p35,l3,0.0,0.0
i01,e01,c7,p15,l3,0.0,0.0
i01,e01,c7,p35,l3,0.0,0.0
i01,e04,c1,p01,l1,2.09,3.9299999999999997
i01,e04,c1,p01,l3,0.0,0.0
i01,e04,c1,p02,l1,1.1,2.21
i01,e04,c1,p02,l3,0.0,0.0
i01,e04,c1,p03,l1,1.12,2.234
i01,e04,c1,p03,l3,0.0,0.0
i01,e04,c1,p04,l1,1.24,2.2619999999999996
i01,e04,c1,p04,l3,0.0,0.0
i01,e04,c1,p05,l1,1.12,0.826
i01,e04,c1,p05,l3,0.0,0.0
i01,e04,c1,p06,l1,0.22,0.43200000000000005
i01,e04,c1,p07,l1,0.32,0.642
i01,e04,c1,p07,l3,0.0,0.0
i01,e04,c1,p08,l1,0.56,0.6679999999999999
i01,e04,c1,p09,l1,0.0,0.0
i01,e04,c1,p10,l1,7.55,8.904
i01,e04,c1,p10,l3,0.0,0.0
i01,e04,c1,p11,l1,1.83,3.662
i01,e04,c1,p11,l3,0.0,0.0
i01,e04,c1,p12,l1,0.24,0.0
i01,e04,c1,p12,l3,0.0,0.0
i01,e04,c1,p13,l1,2.12,2.81
i01,e04,c1,p13,l3,0.0,0.0
i01,e04,c1,p14,l1,0.12,0.236
i01,e04,c1,p14,l3,0.0,0.0
i01,e04,c1,p15,l1,3.39,5.768
i01,e04,c1,p15,l3,0.0,0.0
i01,e04,c1,p16,l1,1.04,1.278
i01,e04,c1,p16,l3,0.0,0.0
i01,e04,c1,p17,l1,1.45,0.602
i01,e04,c1,p18,l1,1.5,1.1179999999999999
i01,e04,c1,p18,l3,0.0,0.0
i01,e04,c1,p19,l1,0.83,0.0
i01,e04,c1,p19,l3,0.0,0.0
i01,e04,c1,p20,l1,0.44,0.40199999999999997
